批次	样本名	24标签	barcode新编号	barcode原编号	RUN号	DPN名称	服务器	fastq文件	reads数	参考序列	参考长度bp	备注
第二批	28-1	24标签-13	barcode-13	Adaptor-barcode270-0	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode270-0.fastq	26550	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR28-1.intersect.fa	738	
第二批	28-2	24标签-14	barcode-14	Adaptor-barcode201-5	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode201-5.fastq	31239	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR28-2.intersect.fa	741	
第二批	28-3	24标签-15	barcode-15	Adaptor-barcode253-4	20260805_250804Y0004_Run0001	1-15	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0001/barcodes_reads_fastq_amplicon/Adaptor-barcode253-4.fastq	15920	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR28-3.intersect.fa	744	
第二批	29-1	24标签-1	barcode-01	Adaptor-barcode251-4	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode251-4.fastq	6305	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR29-1.intersect.fa	675	
第二批	29-2	24标签-2	barcode-02	Adaptor-barcode250-4	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode250-4.fastq	24562	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR29-2.intersect.fa	680	
第二批	29-3	24标签-3	barcode-03	Adaptor-barcode271-3	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode271-3.fastq	18409	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR29-3.intersect.fa	665	
第二批	29-5	24标签-4	barcode-04	Adaptor-barcode266-2	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode266-2.fastq	38515	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR29-5.intersect.fa	664	
第二批	29-8	24标签-5	barcode-05	Adaptor-barcode229-0	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode229-0.fastq	33915	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR29-8.intersect.fa	680	
第二批	29-9	24标签-6	barcode-06	Adaptor-barcode255-3	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode255-3.fastq	13295	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR29-9.intersect.fa	667	
第二批	29-10	24标签-7	barcode-07	Adaptor-barcode261-3	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode261-3.fastq	8428	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR29-10.intersect.fa	664	
第二批	33-3	24标签-8	barcode-08	Adaptor-barcode206-3	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode206-3.fastq	8424	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/intersect.fa	782	无独立参考文件，取汇总文件内记录
第二批	33-5	24标签-9	barcode-09	Adaptor-barcode230-2	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode230-2.fastq	16198	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/intersect.fa	920	无独立参考文件，取汇总文件内记录
第二批	33-6	24标签-10	barcode-10	Adaptor-barcode256-3	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode256-3.fastq	18872	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR33-6.intersect.fa	819	
第二批	33-11	24标签-11	barcode-11	Adaptor-barcode207-4	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode207-4.fastq	9307	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/intersect.fa	975	无独立参考文件，取汇总文件内记录
第二批	38-1	24标签-12	barcode-12	Adaptor-barcode222-2	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode222-2.fastq	24838	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR38-1.intersect.fa	702	
第二批	38-2	24标签-13	barcode-13	Adaptor-barcode270-0	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode270-0.fastq	20375	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR38-2.intersect.fa	698	
第二批	38-3	24标签-14	barcode-14	Adaptor-barcode201-5	20260805_250804Y0004_Run0002	16-29	153服务器-PRO	/data1/ccs_data/str-optimization/second-batch-of-data/20260805_250804Y0004_Run0002/barcodes_reads_fastq_amplicon/Adaptor-barcode201-5.fastq	12196	/data1/ccs_data/str-optimization/second-batch-of-data/sanger_result/merged_output/STR38-3.intersect.fa	698	
第三批	48-4	24标签-1	barcode-01	Adaptor-barcode251-4	20260815_250804Y0004_Run0002	30-43	153服务器	/data1/ccs_data/str-optimization/third-batch-of-data/20260815_250804Y0004_Run0002/barcode_assign/Adaptor-barcode251-4.fastq	17754	/data1/ccs_data/str-optimization/third-batch-of-data/STR第三批一代测序/STR第三批一代测序/merged_output/260805STR48-4.fa	729	
